Tiempo inicio del ensayo: 2020-09-09 11:44:17.942376
LWC (g/m3)=8
MVD (um)=20
FBG1	FBG2	FBG3	FBG4	FBG5	FBG6	FBG7	FBG8	FBG9	FBG10	FBG11	FBG12	FBG13	FBG14	FBG15	FBG16	Tiempo (s)
-3.48	-4.35	-4.24	-4.05	-4.47	-4.71	-5.14	-5.18	-2.06	-3.91	-4.45	-4.64	-4.76	-4.84	-5.43	-5.9	5.4	
-3.19	-4.33	-4.3	-4.07	-4.43	-4.63	-5.16	-4.97	-2.25	-4.01	-4.38	-4.64	-4.72	-4.7	-5.6	-5.71	5.7	
-3.46	-4.25	-3.99	-4.15	-4.43	-4.69	-5.03	-5.12	-2.44	-3.8	-4.38	-4.23	-4.82	-4.74	-5.35	-5.88	5.8	
-3.29	-4.19	-4.13	-4.27	-4.49	-4.65	-5.14	-5.18	-2.12	-3.87	-4.3	-4.78	-4.76	-5.07	-5.25	-5.8	5.9	
-3.15	-4.39	-4.05	-4.21	-4.45	-4.88	-5.09	-4.97	-2.34	-4.05	-4.49	-4.64	-4.72	-4.95	-5.25	-5.55	6.0	
-3.36	-4.29	-4.09	-4.17	-4.49	-4.76	-5.03	-5.04	-2.32	-3.95	-4.38	-4.64	-4.76	-5.07	-5.43	-5.61	6.1	
-3.54	-4.46	-4.19	-4.17	-4.41	-4.86	-5.16	-5.0	-2.23	-3.99	-4.18	-4.6	-4.7	-4.97	-5.27	-5.42	6.2	
-3.29	-4.41	-4.24	-4.03	-4.41	-4.78	-4.99	-5.14	-2.21	-4.05	-4.38	-4.46	-4.82	-4.9	-5.39	-5.65	6.3	
-3.23	-4.35	-4.19	-4.15	-4.43	-4.69	-5.03	-5.27	-2.42	-3.8	-4.28	-4.7	-4.7	-4.78	-5.43	-5.76	6.4	
-3.46	-4.41	-4.38	-4.17	-4.57	-4.39	-5.16	-4.87	-2.4	-4.13	-4.34	-4.81	-4.76	-5.05	-5.23	-5.59	6.5	
-3.4	-4.25	-4.4	-4.11	-4.43	-4.61	-5.11	-5.02	-2.25	-4.17	-4.28	-4.36	-4.72	-5.13	-5.29	-5.48	6.6	
-3.4	-4.31	-4.26	-4.21	-4.49	-4.59	-5.09	-5.18	-2.3	-3.83	-4.28	-4.78	-4.76	-4.86	-5.29	-5.51	6.7	
-3.38	-4.31	-4.15	-4.09	-4.55	-4.53	-5.09	-5.04	-2.17	-3.91	-4.49	-4.38	-4.82	-4.82	-5.39	-5.86	6.8	
-3.35	-4.41	-4.26	-4.19	-4.51	-4.67	-5.11	-5.1	-2.53	-4.17	-4.38	-4.48	-4.7	-4.88	-5.41	-5.65	6.9	
-3.27	-4.41	-4.05	-4.4	-4.49	-4.94	-4.99	-5.0	-2.19	-4.01	-4.49	-4.68	-4.82	-4.99	-5.45	-5.65	7.0	
-3.52	-4.37	-4.11	-4.23	-4.49	-4.9	-5.03	-4.91	-2.42	-4.03	-4.4	-4.52	-4.76	-4.97	-5.41	-5.63	7.1	
-3.4	-4.41	-4.38	-4.31	-4.61	-4.76	-5.09	-5.04	-2.36	-4.25	-4.59	-4.7	-4.76	-4.88	-5.35	-5.59	7.2	
-3.52	-4.45	-4.11	-4.33	-4.47	-4.53	-5.05	-5.18	-2.48	-4.09	-4.45	-4.44	-4.82	-5.17	-5.35	-5.65	7.3	
-3.35	-4.37	-4.21	-4.42	-4.57	-4.69	-5.09	-5.0	-2.13	-3.99	-4.4	-4.58	-4.76	-4.74	-5.35	-5.8	7.4	
-3.37	-4.41	-4.05	-4.31	-4.49	-4.78	-5.05	-5.29	-2.29	-4.01	-4.38	-4.89	-4.7	-4.99	-5.33	-5.71	7.5	
-3.56	-4.47	-4.21	-4.03	-4.55	-4.53	-5.11	-5.14	-2.27	-4.19	-4.34	-4.89	-4.76	-4.74	-5.41	-5.59	7.6	
